x_sim, y_sim, e_x_sim, e_y_sim, error_sim, x_real, y_real, e_x_real, e_y_real, error_real,,,
1159.2,30.6,1139.753576,25.7446319,20.0434027,8.4223125,0.28985,8.281022078,0.243858874,0.148587237,,,
1158.4,31.2,1153.43672,5.29728734,26.37393928,8.4165,0.295533333,8.380438668,0.050177083,0.247992156,,,
1157.6,31.8,1152.123948,22.40930608,10.87070748,8.4106875,0.301216667,8.370900557,0.212265927,0.097443496,,,
1156.8,32.4,1158.665004,65.73536334,33.38749301,8.404875,0.3069,8.418425421,0.622659969,0.316050585,,,
1156,33,1157.156515,17.89688643,15.14732868,8.3990625,0.312583333,8.407465304,0.169523285,0.14330661,,,
1155.2,33.6,1168.680762,69.12901157,38.00054752,8.39325,0.318266667,8.491196163,0.65480536,0.350502129,,,
1154.4,34.2,1148.679019,51.09723256,17.83945325,8.3874375,0.32395,8.345870997,0.484004342,0.16536374,,,
1153.6,34.8,1140.741061,24.99032793,16.17349585,8.381625,0.329633333,8.288196774,0.23671394,0.131768157,,,
1152.8,35.4,1128.926638,43.42350688,25.1855924,8.3758125,0.335316667,8.202357606,0.411317107,0.18937441,,,
1152,36,1155.949748,24.47677482,12.1813476,8.37,0.341,8.398697389,0.23184945,0.112860013,,,
1151.2,36.6,1143.659819,50.54712632,15.85486257,8.3641875,0.346683333,8.30940337,0.478793613,0.143018974,,,
1150.4,37.2,1142.439446,35.9617117,8.056287746,8.358375,0.352366667,8.300536602,0.340637325,0.059015741,,,
1149.6,37.8,1150.388629,40.73502854,3.039132806,8.3525625,0.35805,8.358292383,0.385851243,0.028385571,,,
1148.8,38.4,1137.097387,24.82168819,17.92544846,8.34675,0.363733333,8.261723202,0.235116546,0.154181173,,,
1148,39,1142.490269,48.69163172,11.14831216,8.3409375,0.369416667,8.300905859,0.461217956,0.100149933,,,
1147.2,39.6,1150.642338,47.83447114,8.92503257,8.335125,0.3751,8.360135738,0.453098741,0.081910564,,,
1146.4,40.2,1164.730387,34.81385509,19.1053299,8.3293125,0.380783333,8.462494215,0.329764572,0.142619365,,,
1145.6,40.8,1127.798804,21.44048316,26.29968595,8.3235,0.386466667,8.194163183,0.203089021,0.224400029,,,
1144.8,41.4,1162.013691,62.15583882,26.96508847,8.3176875,0.39215,8.442755722,0.588753918,0.23301322,,,
1144,42,1137.215362,42.95659494,6.851743775,8.311875,0.397833333,8.262580361,0.406894413,0.050120501,,,
1143.2,42.6,1141.968636,72.61478909,30.04003697,8.3060625,0.403516667,8.297115872,0.687823419,0.284447485,,,
1142.4,43.2,1159.135527,83.91006108,44.01575797,8.30025,0.4092,8.421844066,0.794814745,0.40433136,,,
1141.6,43.8,1139.756622,62.24321557,18.5351084,8.2944375,0.414883333,8.281044206,0.58958157,0.175210885,,,
1140.8,44.4,1135.8727,52.92254847,9.844395068,8.288625,0.420566667,8.252825088,0.50129414,0.088309448,,,
1140,45,1161.387152,61.84668517,27.22537558,8.2828125,0.42625,8.438203527,0.585825546,0.222734654,,,
1139.2,45.6,1158.03478,63.89879316,26.26013669,8.277,0.431933333,8.41384645,0.605263569,0.220840036,,,
1138.4,46.2,1150.984172,64.62081888,22.30892086,8.2711875,0.437616667,8.362619374,0.612102757,0.196990312,,,
1137.6,46.8,1142.806986,78.72223118,32.34411149,8.265375,0.4433,8.303207009,0.745674468,0.30473198,,,
1136.8,47.4,1115.859412,38.10391413,22.91125092,8.2595625,0.448983333,8.107416044,0.360928742,0.175790088,,,
1136,48,1143.495829,47.54746912,7.509476361,8.25375,0.454666667,8.308211882,0.450380194,0.054630307,,,
1135.2,48.6,1125.743759,16.19095541,33.76043035,8.2479375,0.46035,8.179232002,0.153364328,0.314580115,,,
1134.4,49.2,1132.309651,45.65929898,4.111705732,8.242125,0.466033333,8.226937306,0.432495026,0.0368169,,,
1133.6,49.8,1141.595018,60.3078512,13.20360748,8.2363125,0.471716667,8.294401303,0.571249368,0.115243515,,,
1132.8,50.4,1109.235263,50.42171784,23.56474736,8.2305,0.4774,8.059287455,0.477605716,0.171212668,,,
1132,51,1108.517656,33.98358929,28.99963295,8.2246875,0.483083333,8.054073595,0.32190011,0.23471075,,,
1131.2,51.6,1137.629886,56.45593896,8.057517004,8.218875,0.488766667,8.265592142,0.5347632,0.065560449,,,
1130.4,52.2,1137.517378,47.60696875,8.470714603,8.2130625,0.49445,8.2647747,0.450943787,0.067579155,,,
1129.6,52.8,1128.946317,33.063105,19.74771697,8.20725,0.500133333,8.202500585,0.313181078,0.187012574,,,
1128.8,53.4,1146.657257,67.29461086,22.62613212,8.2014375,0.505816667,8.331181636,0.637429508,0.184812015,,,
1128,54,1150.100023,52.02740844,22.18788283,8.195625,0.5115,8.356195481,0.492815174,0.161653958,,,
1127.2,54.6,1135.43835,77.81472192,24.63318353,8.1898125,0.517183333,8.249669264,0.737078338,0.227896129,,,
1126.4,55.2,1115.474892,41.2356178,17.73025531,8.184,0.522866667,8.104622263,0.390592935,0.154263298,,,
